ProductName,Category,Brand,UnitPrice
Fishing Rod,Health & Fitness,FakeZenithStyle,445
Pet Toy,Kitchen & Dining,FakeVelvetVista,542
Wi-Fi Extender,Pets,FakeEtherealEdge,461
Snow Shovel,Arts & Crafts,FakeUrbanGlow,375
Sled,Home & Furniture,FakeVelvetVista,334
Rain Jacket,Kitchen & Dining,FakeZenithStyle,450
Hiking Boots,Home & Furniture,FakeVelvetVista,778
Soap,Health & Fitness,FakeEtherealEdge,479
Bed,Electronics,FakeZenithStyle,703
Cat Tree,Kitchen & Dining,FakeVelvetVista,842
Wi-Fi Extender,Toys & Games,FakeVelvetVista,224
Tablet,Toys & Games,FakeEtherealEdge,168
Fishing Rod,Pets,FakeLuxeAura,160
Glasses,Kitchen & Dining,FakeVelvetVista,630
3D Printer,Arts & Crafts,FakeVelvetVista,794
Fan,Health & Fitness,FakeUrbanGlow,640
Stove,Outdoor & Garden,FakeLuxeAura,173
Game Console,Home & Furniture,FakeLuxeAura,557
3D Printer,Electronics,FakeEtherealEdge,743
Garden Tools,Toys & Games,FakeLuxeAura,857
3D Printer,Electronics,FakeEtherealEdge,888
Treadmill,Sports & Recreation,FakeEtherealEdge,626
Bluetooth Speaker,Arts & Crafts,FakeLuxeAura,346
Ping Pong Table,Electronics,FakeUrbanGlow,587
Portable Charger,Toys & Games,FakeZenithStyle,398
Microwave,Sports & Recreation,FakeUrbanGlow,589
Smartphone,Toys & Games,FakeZenithStyle,385
Monitor,Home Appliances,FakeLuxeAura,736
Sled,Pets,FakeUrbanGlow,691
Printer,Health & Fitness,FakeEtherealEdge,185
Pet Bed,Health & Fitness,FakeEtherealEdge,541
Bluetooth Speaker,Home Appliances,FakeEtherealEdge,717
Soap,Toys & Games,FakeEtherealEdge,267
Laser Printer,Pets,FakeVelvetVista,669
Plant Pot,Outdoor & Garden,FakeVelvetVista,905
Smartwatch,Sports & Recreation,FakeZenithStyle,769
Vacuum Cleaner,Toys & Games,FakeLuxeAura,642
Cooler,Outdoor & Garden,FakeVelvetVista,840
Yoga Mat,Arts & Crafts,FakeUrbanGlow,905
Kayak,Pets,FakeZenithStyle,298
Portable Hard Drive,Kitchen & Dining,FakeEtherealEdge,881
Smartphone,Kitchen & Dining,FakeEtherealEdge,268
Camping Tent,Sports & Recreation,FakeLuxeAura,215
Water Bottle,Sports & Recreation,FakeZenithStyle,671
Action Figure,Home & Furniture,FakeEtherealEdge,809
Basketball,Outdoor & Garden,FakeZenithStyle,853
Building Blocks,Home & Furniture,FakeUrbanGlow,673
Yoga Mat,Arts & Crafts,FakeVelvetVista,739
Fish Food,Home & Furniture,FakeVelvetVista,265
Trekking Poles,Home & Furniture,FakeEtherealEdge,417
Plant Pot,Kitchen & Dining,FakeEtherealEdge,658
Printer,Kitchen & Dining,FakeZenithStyle,752
Home Security Camera,Health & Fitness,FakeVelvetVista,943
Electric Toothbrush,Home Appliances,FakeVelvetVista,725
Smartwatch,Arts & Crafts,FakeEtherealEdge,301
Smart Doorbell,Home Appliances,FakeEtherealEdge,855
Baseball Glove,Electronics,FakeEtherealEdge,516
Tent,Home Appliances,FakeEtherealEdge,385
Pet Bed,Sports & Recreation,FakeZenithStyle,127
Board Game,Toys & Games,FakeLuxeAura,505
Baseball Glove,Sports & Recreation,FakeZenithStyle,828
Snorkel Gear,Kitchen & Dining,FakeEtherealEdge,891
Fitness Tracker,Electronics,FakeZenithStyle,209
Portable Charger,Kitchen & Dining,FakeUrbanGlow,432
Sewing Machine,Kitchen & Dining,FakeUrbanGlow,126
Power Bank,Electronics,FakeLuxeAura,504
Building Blocks,Outdoor & Garden,FakeZenithStyle,671
Plant Pot,Home Appliances,FakeEtherealEdge,285
BBQ Grill,Health & Fitness,FakeLuxeAura,808
Action Figure,Kitchen & Dining,FakeZenithStyle,715
Camping Chair,Toys & Games,FakeVelvetVista,990
Juicer,Health & Fitness,FakeEtherealEdge,282
Building Blocks,Kitchen & Dining,FakeLuxeAura,659
Lawn Sprinkler,Outdoor & Garden,FakeEtherealEdge,439
Hiking Backpack,Home Appliances,FakeZenithStyle,102
Treadmill,Outdoor & Garden,FakeEtherealEdge,769
Elliptical,Toys & Games,FakeEtherealEdge,632
Backpack,Sports & Recreation,FakeEtherealEdge,638
Air Purifier,Arts & Crafts,FakeLuxeAura,867
Sewing Machine,Home Appliances,FakeEtherealEdge,929
Golf Clubs,Kitchen & Dining,FakeUrbanGlow,156
Supplement,Outdoor & Garden,FakeLuxeAura,604
Oven,Outdoor & Garden,FakeZenithStyle,855
Cat Litter Box,Kitchen & Dining,FakeVelvetVista,896
Golf Clubs,Toys & Games,FakeZenithStyle,730
Camping Chair,Home & Furniture,FakeZenithStyle,807
Patio Furniture,Toys & Games,FakeVelvetVista,218
Lawn Mower,Health & Fitness,FakeZenithStyle,639
BBQ Grill,Home Appliances,FakeEtherealEdge,519
Sleeping Bag,Toys & Games,FakeUrbanGlow,638
Pet Carrier,Sports & Recreation,FakeZenithStyle,720
Volleyball,Electronics,FakeVelvetVista,418
Treadmill,Home & Furniture,FakeVelvetVista,986
Board Game,Toys & Games,FakeZenithStyle,940
BBQ Grill,Sports & Recreation,FakeLuxeAura,791
Baseball Glove,Arts & Crafts,FakeLuxeAura,837
Power Bank,Home & Furniture,FakeUrbanGlow,354
Life Jacket,Arts & Crafts,FakeLuxeAura,437
Life Jacket,Sports & Recreation,FakeEtherealEdge,816
Suitcase,Outdoor & Garden,FakeEtherealEdge,602
