StoreName,StoreType,StoreOpeningDate,Address,City,State,ZipCode,Country,Region,Manager Name
The Luxe Loft,SMB,2007-12-06,2433 Bennett Flats Hamiltonland  TN 07474,Cummingsstad,North Dakota,30414,Paraguay,North,David
The Shimmer Corner,MBO,1987-03-15,5120 Gwendolyn Path Suite 543 West Andreamouth  DC 92812,Christianmouth,Arkansas,27973,Kazakhstan,South,Adam
The Happy Corner,MBO,1970-11-30,2382 Jennifer Points Suite 841 Thomashaven  MP 14837,West Heather,Delaware,41694,Saint Helena,West,Andrew
The Shimmer Creations,Outlet Stores,1997-04-19,1895 Pugh Dale Apt. 556 Thompsonbury  OR 34152,Rhondamouth,Tennessee,51643,Guinea-Bissau,North,Thomas
The Modern Enclave,SMB,2000-12-13,824 Ricky Lake Davidton  GU 20842,Sarahfort,Delaware,43459,Zambia,West,Julia
The Artisan Nook,Outlet Stores,1976-04-10,243 Wayne Vista Suite 839 Lyonschester  MO 14494,Sandersburgh,Arkansas,83511,American Samoa,North,Darrell
The Modern Creations,SMB,2001-07-03,3196 George Radial North Zacharyburgh  MO 62236,Cynthiatown,Vermont,25361,Cocos (Keeling) Islands,West,Jessica
The Radiant Creations,Outlet Stores,1989-05-09,123 Antonio Estates East Peterside  MH 89919,Rogersview,Iowa,67248,Martinique,West,Raymond
The Harmony Essentials,Exclusive,2003-06-28,75879 Cooke Freeway Suite 226 Brownberg  NH 34462,Johnsonborough,California,55986,Puerto Rico,West,Wendy
The Serene Shoppe,Exclusive,2014-07-15,04799 Giles Parkway Wuville  WY 77841,Port Tracyburgh,Idaho,59820,Solomon Islands,South,Jennifer
The Luxe Oasis,MBO,1998-12-07,399 Ethan Way Christopherhaven  SD 92408,Amberland,Nevada,67571,Cameroon,West,Christian
The Cozy Marvels,SMB,2011-02-19,722 Chavez Glens Booneside  CT 22832,Port Alexis,Ohio,22019,Afghanistan,West,Kathryn
The Trendy Avenue,SMB,2018-04-01,111 Ivan Fork East Edward  TN 09052,North Michaelville,Alabama,08198,Cook Islands,West,David
The Vintage Sanctuary,Exclusive,1970-11-15,97090 Wright Avenue Medinaside  SD 94179,East Christopher,Oklahoma,65930,Seychelles,South,Brandon
The Dapper Treasures,SMB,2010-07-15,17735 Hall Mews South Martinbury  WA 59617,South Beth,Louisiana,84350,Cameroon,East,Amanda
The Polished Marvels,MBO,2005-04-24,825 Short Manor Apt. 467 South Christianmouth  MA 19897,Anthonystad,Arkansas,66140,Lesotho,East,Stephanie
The Cozy Quest,SMB,2000-05-18,23426 Vicki Branch Suite 730 Christianbury  VA 63825,Rangelborough,Maine,72297,Senegal,East,Jacob
The Serene Avenue,SMB,1977-09-12,842 Harrison Summit Suite 432 West Lindamouth  NH 80080,Pamelaport,Minnesota,67101,Nauru,East,Tiffany
The Rustic Sanctuary,Outlet Stores,1989-06-19,3680 Charles Drive Suite 911 Lawrencemouth  GU 12714,Gilbertchester,Vermont,22247,Botswana,North,Jennifer
The Chic Haven,MBO,2022-08-02,64780 Tiffany Spurs Kathryntown  FM 74279,West Thomasstad,Oklahoma,72121,Hungary,South,Brandon
